"id_organo","id_organoads","codigo","desc_organo","id_clasificacion","cod_onapre","id_estado","id_municipio","id_parroquia","tipo_rif","rif","siglas","direccion_fiscal","gaceta","fecha_gaceta","pagina_web","correo","tel1","tel2","movil1","movil2","usuario","fecha"
54,54,E140000,Ministerio del Poder Popular para la Educación,1,"6565654646",1,1,1,4,"200000090",No Aplica,CARACAS,"1234567",2020-12-07,www.ccas.co.ve,coint6raloria@contra.co.ve,"7","7777","777","777",1,2021-01-17
55,55,F150000,Ministerio del Poder Popular para el Proceso Social de Trabajo,1,"6565654646",1,1,1,4,"200000120",No Aplica,CARACAS,"1234567",2020-12-07,www.ccas.co.ve,con5stiraloria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
56,56,G160000,Servicio Nacional de Contratación,1,"6565654646",1,1,1,4,"200024518",NoAplica,CARACAS,"1234567",2020-12-07,www.ccas.co.ve,contriiyalo5ria@contra.co.ve,"7","7","7","7",1,2021-01-17
57,57,H170000,Tribunal Supremo de Justicia,1,"6565654646",1,1,1,4,"200000309",NoAplica,CARACAS,"1234567",2020-12-07,www.ccas.co.ve,conttriialo5ria@contra.co.ve,"7","7","7","7",1,2021-01-17
110,81,AG410000,Ministerio del Poder Popular para la Educación Universitaria,1,"6565654646",1,1,1,4,"200112964",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,c234ontraloria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
111,82,AH420000,Ministerio del Poder Popular para la Juventud y el Deporte,1,"6565654646",1,1,1,4,"200113154",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,cofnt43raloria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
132,83,AI430000,Ministerio del Poder Popular para el Ecosocialismo,1,"6565654646",1,1,1,4,"200116536",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,"4@contra.co.ve","77676765","7777","777","777",1,2021-01-17
133,84,AJ440000,Ministerio del Poder Popular para Hábitat y Vivienda,1,"6565654646",1,1,1,4,"200116528",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,c4@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
134,85,AK450000,Ministerio del Poder Popular de Pesca y Acuicultura,1,"6565654646",1,1,1,4,"200119497",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,c4oria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
135,86,AL460000,Ministerio del Poder Popular de Agricultura Urbana,1,"6565654646",1,1,1,4,"200120762",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,co7ria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
136,87,AM470000,Vicepresidencia Sectorial de Planificación,1,"6565654646",1,1,1,4,"200120436",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,con874ria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
137,88,AN480000,Vicepresidencia Sectorial del Socialismo Social y Territorial,1,"6565654646",1,1,1,4,"200120320",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,cont852oria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
138,89,AO490000,Ministerio del Poder Popular de Industrias y Producción Nacional,1,"6565654646",1,1,1,4,"200121467",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,co963a@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
139,90,AP500000,Ministerio del Poder Popular de Desarrollo Minero Ecológico,1,"6565654646",1,1,1,4,"200121360",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,"96@contra.co.ve","77676765","7777","777","777",1,2021-01-17
140,91,AQ510000,Vicepresidencia Sectorial de Economía,1,"6565654646",1,1,1,4,"200120193",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,con93ria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
141,92,AR520000,"Vicepresidencia Sectorial de Soberanía Política, Seguridad y Paz",1,"6565654646",1,1,1,4,"200125535",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,co36ria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
142,93,AS530000,Vicepresidencia Sectorial de Obras Públicas y Servicios,1,"6565654646",1,1,1,4,"200122838",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,con39oria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
143,94,AT540000,Ministerio del Poder Popular para el Transporte,1,"6565654646",1,1,1,4,"200123117",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,c66raloria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
144,95,AU550000,Ministerio del Poder Popular de Obras Públicas,1,"6565654646",1,1,1,4,"200123095",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,co63loria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
145,96,AV560000,"Ministerio del Poder Popular de Economía, Finanzas y Comercio Exterior",1,"6565654646",1,1,1,4,"200123516",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,co69loria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
146,97,AW570000,Asamblea Nacional Constituyente,1,"6565654646",1,1,1,4,"200125055",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,co965aloria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
147,98,AX580000,"Comisión para la Verdad, la Justicia, la Paz y la Tranquilidad Pública",1,"6565654646",1,1,1,4,"200125039",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,co84loria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
148,99,AY590000,Ministerio del Poder Popular de Atención de las Aguas,1,"6565654646",1,1,1,4,"200127716",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,cont74oria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
149,100,AZ600000,Ministerio del Poder Popular de Comercio Nacional,1,"6565654646",1,1,1,4,"200128569",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,cont458oria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
150,101,BA610000,Ministerio del Poder Popular para la Ciencia y Tecnología,1,"6565654646",1,1,1,4,"200130385",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,"234@contra.co.ve","77676765","7777","777","777",1,2021-01-17
151,102,BC710000,Ministerio del Poder Popular para el Turismo,1,"6565654646",1,1,1,4,"200131322",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,"23444@contra.co.ve","77676765","7777","777","777",1,2021-01-17
152,103,BD810000,Distrito Capital,1,"6565654646",1,1,1,4,"200088168",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,"2344324@contra.co.ve","77676765","7777","777","777",1,2021-01-17
153,104,BE910000,Territorio Insular Francisco de Miranda,1,"6565654646",1,1,1,4,"200100419",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,"2@contra.co.ve","77676765","7777","777","777",1,2021-01-17
154,76,ZP350000,Gobernación de Lara,1,"6565654646",1,1,1,4,"000000000",No Aplica,lara,"1234567",2020-12-07,www.lara.co.ve,lara@contra.co.ve,"77676765","7777","777","777",1,2021-04-28
